,url,keyword,terms,error,access_date
5,https://www.builtinnyc.com/job/product/technical-product-manager-product-owner-cspo-gbi-platforms/168675,Requirements, ,,2023-08-14 21:32:38.912494
6,https://www.builtinnyc.com/job/product/senior-product-manager-customer-experience/226065,You Have,Bonus Qualifications,,2023-08-14 21:32:39.592554
7,https://www.builtinnyc.com/job/product/senior-product-manager/231965,Qualifications,"Base salary is just one part of our Total Rewards Package here at Rhino. In connection with this position, we also offer:",,2023-08-14 21:32:40.739122
8,https://www.builtinnyc.com/job/product/product-compliance-manager-seller/232202,Requirements,"['Knowledge in payment regulations and scheme rules, knowledge of areas of Cards, commercial lending, and peer-to-peer payments also ideal', 'Financial crimes and sanctions competency', '6+ years in the compliance industry', 'Significant experience managing product launch projects', 'Experience conducting product-level risk assessments (AML, ACH, general compliance)', 'A metrics-driven approach to create substantiated solutions', 'Ability to identify the important problems to solve', 'Operational knowledge in building a sound Compliance program']",,2023-08-14 21:32:41.335031
0,https://www.builtinnyc.com/job/product/manager-product-manager-cloud-cost-optimization/232258,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:31:52.236537
1,https://www.builtinnyc.com/job/product/senior-product-manager-lab-genomics-data/229052,Requirements,"['6+ years of hands-on Product Management or other related experience focused on data pipelines and platforms', 'Must have experience with Lab and/or Genomics data', 'Experience as the owner of a product or major product component, including roadmap, feature planning, as well as the design and build of product features', 'Experience working on data pipelines, such as designing ETL/ELT processes, schemas, QC checks, and data monitoring', 'Experience designing transformations, mappings, and working with reference tables', 'Comfortable with SQL', 'Experience communicating with customers, including product roadmap, feedback discussions, and presenting complex concepts in easy-to-understand terms', 'Experience investigating data issues and working with Analysts and Data Scientists as needed for complex analysis', 'Energized by working through complex problems and a focus on bringing innovation, scalability, and productization to data', 'BA/BS degree in Computer Science, Engineering, Math, or a related technical field']",,2023-08-14 21:31:52.845634
2,https://www.builtinnyc.com/job/product/senior-product-manager-advertising/232106,You Have,,,2023-08-14 21:31:53.494654
4,https://www.builtinnyc.com/job/product/senior-technical-product-manager-ar/225382,Requirements,"['5+ years of product management experience with some experience in AR.', ""Minimum of Bachelor's Degree in Computer Science or relevant professional experience."", 'Mission-driven, and excited about working in the mental health space.', 'Experience working and achieving success with diverse stakeholders.', 'Entrepreneurial mindset and experience building products from ""zero to one.""', 'Experience working with distributed software engineering, design, and research teams.', 'Exceptional communication and presentation skills.']",,2023-08-14 21:32:37.944210
5,https://www.builtinnyc.com/job/product/technical-product-manager-product-owner-cspo-gbi-platforms/168675,Requirements, ,,2023-08-14 21:32:38.912494
6,https://www.builtinnyc.com/job/product/senior-product-manager-customer-experience/226065,You Have,Bonus Qualifications,,2023-08-14 21:32:39.592554
